time,Hips.y,Hips.x,Hips.z,RightUpLeg.y,RightUpLeg.x,RightUpLeg.z,RightLeg.y,RightLeg.x,RightLeg.z,RightFoot.y,RightFoot.x,RightFoot.z,LeftUpLeg.y,LeftUpLeg.x,LeftUpLeg.z,LeftLeg.y,LeftLeg.x,LeftLeg.z,LeftFoot.y,LeftFoot.x,LeftFoot.z,Spine.y,Spine.x,Spine.z,Spine1.y,Spine1.x,Spine1.z,Spine2.y,Spine2.x,Spine2.z,Spine3.y,Spine3.x,Spine3.z,Neck.y,Neck.x,Neck.z,Head.y,Head.x,Head.z,RightShoulder.y,RightShoulder.x,RightShoulder.z,RightArm.y,RightArm.x,RightArm.z,RightForeArm.y,RightForeArm.x,RightForeArm.z,RightHand.y,RightHand.x,RightHand.z,RightHandThumb1.y,RightHandThumb1.x,RightHandThumb1.z,RightHandThumb2.y,RightHandThumb2.x,RightHandThumb2.z,RightHandThumb3.y,RightHandThumb3.x,RightHandThumb3.z,RightInHandIndex.y,RightInHandIndex.x,RightInHandIndex.z,RightHandIndex1.y,RightHandIndex1.x,RightHandIndex1.z,RightHandIndex2.y,RightHandIndex2.x,RightHandIndex2.z,RightHandIndex3.y,RightHandIndex3.x,RightHandIndex3.z,RightInHandMiddle.y,RightInHandMiddle.x,RightInHandMiddle.z,RightHandMiddle1.y,RightHandMiddle1.x,RightHandMiddle1.z,RightHandMiddle2.y,RightHandMiddle2.x,RightHandMiddle2.z,RightHandMiddle3.y,RightHandMiddle3.x,RightHandMiddle3.z,RightInHandRing.y,RightInHandRing.x,RightInHandRing.z,RightHandRing1.y,RightHandRing1.x,RightHandRing1.z,RightHandRing2.y,RightHandRing2.x,RightHandRing2.z,RightHandRing3.y,RightHandRing3.x,RightHandRing3.z,RightInHandPinky.y,RightInHandPinky.x,RightInHandPinky.z,RightHandPinky1.y,RightHandPinky1.x,RightHandPinky1.z,RightHandPinky2.y,RightHandPinky2.x,RightHandPinky2.z,RightHandPinky3.y,RightHandPinky3.x,RightHandPinky3.z,LeftShoulder.y,LeftShoulder.x,LeftShoulder.z,LeftArm.y,LeftArm.x,LeftArm.z,LeftForeArm.y,LeftForeArm.x,LeftForeArm.z,LeftHand.y,LeftHand.x,LeftHand.z,LeftHandThumb1.y,LeftHandThumb1.x,LeftHandThumb1.z,LeftHandThumb2.y,LeftHandThumb2.x,LeftHandThumb2.z,LeftHandThumb3.y,LeftHandThumb3.x,LeftHandThumb3.z,LeftInHandIndex.y,LeftInHandIndex.x,LeftInHandIndex.z,LeftHandIndex1.y,LeftHandIndex1.x,LeftHandIndex1.z,LeftHandIndex2.y,LeftHandIndex2.x,LeftHandIndex2.z,LeftHandIndex3.y,LeftHandIndex3.x,LeftHandIndex3.z,LeftInHandMiddle.y,LeftInHandMiddle.x,LeftInHandMiddle.z,LeftHandMiddle1.y,LeftHandMiddle1.x,LeftHandMiddle1.z,LeftHandMiddle2.y,LeftHandMiddle2.x,LeftHandMiddle2.z,LeftHandMiddle3.y,LeftHandMiddle3.x,LeftHandMiddle3.z,LeftInHandRing.y,LeftInHandRing.x,LeftInHandRing.z,LeftHandRing1.y,LeftHandRing1.x,LeftHandRing1.z,LeftHandRing2.y,LeftHandRing2.x,LeftHandRing2.z,LeftHandRing3.y,LeftHandRing3.x,LeftHandRing3.z,LeftInHandPinky.y,LeftInHandPinky.x,LeftInHandPinky.z,LeftHandPinky1.y,LeftHandPinky1.x,LeftHandPinky1.z,LeftHandPinky2.y,LeftHandPinky2.x,LeftHandPinky2.z,LeftHandPinky3.y,LeftHandPinky3.x,LeftHandPinky3.z
   0.00000,   1.39998,  12.22086,  -7.41465,  -8.63325,  -7.88299,   9.93925,  -1.38325,  -4.79734,   0.85933,   7.46762,   2.36430,   1.24584, -26.43233,  -2.17909,  13.04129,  20.62894,  -4.34078,  -2.44700,  37.58499,   0.40968,  -1.84544,  -5.17084,  -0.89930,   7.56361,  -1.30488,  -0.18372,   1.88454,  -2.16915,  -0.18670,   3.12029,   0.87650,  -0.83649,  -0.21499,   0.88438,  -0.83749,  -0.21605,  17.45399, -13.94498,  -6.06067,   6.33102,  -3.75562, -22.04283,  -4.24519, -11.14629,  27.12732,  12.60751, -54.34853, -17.21887,   6.12263,   2.23284,  -6.96779,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -27.00420,  -1.50767,  17.23841,  34.73603, -35.75232, -29.77398,  -1.22218, -17.20208,  18.94497, -27.40725,  -2.42690, -14.89866, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.00800,   1.39669,  12.23259,  -7.42479,  -8.63741,  -7.89287,   9.95191,  -1.36867,  -4.80729,   0.85844,   7.45484,   2.38214,   1.24880, -26.42568,  -2.17800,  13.06043,  20.62577,  -4.34087,  -2.45424,  37.57887,   0.40451,  -1.84871,  -5.17661,  -0.90002,   7.56257,  -1.30632,  -0.18386,   1.88426,  -2.17154,  -0.18683,   3.11982,   0.87623,  -0.83593,  -0.21646,   0.88413,  -0.83691,  -0.21753,  17.45405, -13.92620,  -6.08536,   6.36191,  -3.76987, -21.99425,  -4.78147, -12.15698,  27.23577,  14.02122, -55.39274, -18.02698,   6.16881,   2.12376,  -6.87787,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.98660,  -1.50953,  17.25260,  34.82577, -36.09381, -29.69449,  -1.97056, -17.94109,  19.06865, -27.20418,  -2.63431, -14.99994, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.01600,   1.39050,  12.24770,  -7.42851,  -8.56227,  -7.92819,   9.95818,  -1.43027,  -4.79942,   0.85348,   7.44067,   2.39004,   1.24609, -26.41647,  -2.18337,  13.07493,  20.62546,  -4.34790,  -2.45729,  37.58094,   0.41002,  -1.84998,  -5.17261,  -0.91026,   7.55853,  -1.30538,  -0.18650,   1.88317,  -2.17022,  -0.19134,   3.11808,   0.87508,  -0.83491,  -0.21786,   0.88298,  -0.83585,  -0.21893,  17.43584, -13.90065,  -6.10521,   6.42998,  -3.78398, -21.94851,  -5.29295, -13.08842,  27.31434,  15.46915, -56.53432, -18.87632,   6.23611,   1.99705,  -6.78331,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.97988,  -1.50149,  17.27125,  35.00863, -36.89648, -29.37532,  -2.47466, -18.22746,  18.84423, -26.98952,  -2.83953, -15.06804, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.02400,   1.38583,  12.26573,  -7.43809,  -8.53009,  -7.95079,   9.97273,  -1.45703,  -4.80070,   0.84246,   7.43286,   2.39375,   1.24826, -26.48081,  -2.24125,  13.11783,  20.67622,  -4.29282,  -2.45310,  37.58094,   0.42053,  -1.85286,  -5.16201,  -0.92319,   7.55756,  -1.30279,  -0.18984,   1.88283,  -2.16627,  -0.19713,   3.11759,   0.87375,  -0.83408,  -0.21910,   0.88165,  -0.83500,  -0.22017,  17.41402, -13.88044,  -6.12247,   6.46537,  -3.79442, -21.87768,  -5.76739, -13.97073,  27.31230,  17.05350, -57.75367, -19.77224,   6.28443,   1.87837,  -6.68464,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.97893,  -1.48019,  17.29439,  35.01322, -37.07230, -29.25508,  -3.29324, -19.13009,  18.95919, -26.77295,  -3.05204, -15.11774, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.03200,   1.38392,  12.28444,  -7.44253,  -8.53160,  -7.96878,   9.97957,  -1.45422,  -4.79673,   0.84849,   7.43081,   2.39432,   1.24352, -26.42799,  -2.21637,  13.12830,  20.63675,  -4.35133,  -2.46905,  37.58471,   0.43508,  -1.84532,  -5.15258,  -0.93949,   7.55904,  -1.30053,  -0.19402,   1.88309,  -2.16292,  -0.20422,   3.11807,   0.87301,  -0.83371,  -0.21899,   0.88090,  -0.83462,  -0.22006,  17.39856, -13.87544,  -6.11778,   6.52821,  -3.78731, -21.82822,  -6.32380, -14.70830,  27.34089,  18.85560, -59.07361, -20.78168,   6.34087,   1.72606,  -6.56708,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.97429,  -1.45289,  17.31418,  34.99392, -37.20269, -29.13347,  -4.15795, -20.10494,  19.08897, -26.53321,  -3.26240, -15.17285, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.04000,   1.37923,  12.30421,  -7.45032,  -8.53098,  -7.98775,   9.98938,  -1.45702,  -4.79741,   0.84718,   7.42953,   2.39765,   1.24655, -26.42847,  -2.23925,  13.15464,  20.64383,  -4.33425,  -2.47720,  37.57613,   0.43719,  -1.84916,  -5.13185,  -0.95781,   7.55909,  -1.29545,  -0.19880,   1.88299,  -2.15498,  -0.21259,   3.11801,   0.87148,  -0.83325,  -0.21876,   0.87934,  -0.83416,  -0.21982,  17.36717, -13.87131,  -6.10877,   6.55757,  -3.76437, -21.76963,  -6.79232, -15.37262,  27.34689,  20.85933, -60.54153, -22.01440,   6.41422,   1.57697,  -6.41684,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.97416,  -1.42623,  17.34142,  34.94739, -37.30178, -29.01859,  -5.06713, -21.11516,  19.24997, -26.28476,  -3.47858, -15.21760, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.04800,   1.37923,  12.30421,  -7.45032,  -8.50901,  -7.98787,   9.99186,  -1.48145,  -4.80441,   0.84551,   7.43100,   2.40512,   1.24715, -26.40874,  -2.23467,  13.15975,  20.62914,  -4.34753,  -2.48167,  37.57575,   0.44864,  -1.85000,  -5.11074,  -0.96547,   7.55872,  -1.29019,  -0.20089,   1.88289,  -2.14654,  -0.21654,   3.11789,   0.86910,  -0.83205,  -0.22045,   0.87694,  -0.83293,  -0.22152,  17.32643, -13.84342,  -6.13088,   6.58768,  -3.74729, -21.73174,  -7.24147, -15.93321,  27.40468,  23.13534, -62.06756, -23.53875,   6.46753,   1.42771,  -6.28031,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.97392,  -1.40527,  17.36414,  34.89495, -37.38295, -28.92478,  -6.02876, -22.13216,  19.45644, -26.02862,  -3.67468, -15.27514, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.05600,   1.37923,  12.30421,  -7.45032,  -8.49284,  -7.98477,   9.98944,  -1.49860,  -4.81534,   0.84488,   7.43082,   2.41148,   1.24963, -26.37329,  -2.22502,  13.15596,  20.59826,  -4.37525,  -2.48551,  37.56864,   0.46094,  -1.84817,  -5.08984,  -0.97323,   7.55406,  -1.28498,  -0.20304,   1.88170,  -2.13818,  -0.22062,   3.11601,   0.86666,  -0.83090,  -0.22175,   0.87448,  -0.83175,  -0.22282,  17.28290, -13.81883,  -6.14588,   6.60665,  -3.72941, -21.68915,  -7.61455, -16.42345,  27.44082,  25.66120, -63.62010, -25.32318,   6.53508,   1.28634,  -6.13349,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.97740,  -1.37759,  17.39359,  34.85961, -37.48162, -28.82749,  -7.00298, -23.07225,  19.66214, -25.78171,  -3.86490, -15.31521, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.06400,   1.37923,  12.30421,  -7.45032,  -8.45725,  -7.96603,   9.98849,  -1.53042,  -4.84417,   0.84428,   7.42967,   2.42094,   1.25262, -26.37331,  -2.24218,  13.16050,  20.58876,  -4.36803,  -2.48230,  37.58154,   0.47294,  -1.84377,  -5.07785,  -0.97674,   7.55053,  -1.28199,  -0.20404,   1.88081,  -2.13335,  -0.22259,   3.11460,   0.86353,  -0.82846,  -0.22546,   0.87136,  -0.82923,  -0.22654,  17.23381, -13.75718,  -6.19975,   6.64563,  -3.72254, -21.64257,  -7.99454, -16.83982,  27.48493,  28.40444, -65.10765, -27.33449,   6.61284,   1.11248,  -6.00884,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.96870,  -1.35657,  17.42102,  34.83700, -37.60407, -28.73386,  -8.00952, -23.91880,  19.88367, -25.54051,  -4.03902, -15.35183, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
   0.07200,   1.37923,  12.30421,  -7.45032,  -8.44823,  -7.96232,   9.98618,  -1.53775,  -4.85210,   0.84818,   7.42598,   2.42530,   1.25334, -26.35866,  -2.25382,  13.16124,  20.57123,  -4.35790,  -2.48124,  37.57921,   0.47356,  -1.84733,  -5.06277,  -0.98145,   7.54232,  -1.27821,  -0.20539,   1.87875,  -2.12728,  -0.22529,   3.11126,   0.86222,  -0.82724,  -0.22626,   0.87004,  -0.82798,  -0.22734,  17.20939, -13.73256,  -6.20772,   6.67014,  -3.70966, -21.58527,  -8.28005, -17.27775,  27.48013,  31.20834, -66.43821, -29.51404,   6.69280,   0.90396,  -5.88500,  21.86000,  -0.00000,  30.00000, -10.00000,  -0.00000,   0.00000, -10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,   2.55000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -3.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000,   0.00000,  -0.00000,   0.00000,  -8.83000,  -0.00000,  20.00000,   0.00000,  -0.00000,  24.00000,   0.00000,  -0.00000,  20.00000, -26.97159,  -1.32595,  17.45173,  34.84584, -37.76614, -28.66127,  -9.03939, -24.65996,  20.10941, -25.30457,  -4.17897, -15.37462, -21.86000,  -0.00000, -30.00000,  10.00000,  -0.00000,   0.00000,  10.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  -2.55000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   3.00000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000,   0.00000,  -0.00000,   0.00000,   8.83000,  -0.00000, -20.00000,   0.00000,  -0.00000, -24.00000,   0.00000,  -0.00000, -20.00000
